,0,1,2,3
0,13.171621050840196,29.581339197813907,42.752960248654105,-
1,13.190717095726367,27.88963080791969,41.08034790364606,0.9896098085866701
2,12.983142939938618,28.294064155808275,41.277207095746896,0.894882068661646
3,12.195326851344452,28.86342859491774,41.05875544626219,-
4,12.054558406933035,21.310095367749355,33.36465377468239,-
5,11.799436415298334,19.833724770881734,31.63316118618007,0.9827252188899813
6,11.637608058463858,20.039996916895447,31.67760497535931,0.960146742241842
7,10.990912159542356,20.608245105924382,31.59915726546674,-
8,11.542733774221897,17.69095947206512,29.233693246287018,-
9,11.196269627011436,16.233233943211257,27.429503570222696,0.9448639233479733
10,10.971199929882415,16.537456709835823,27.50865663971824,0.9077265137364252
11,10.40017626308725,16.91181265674388,27.31198891983113,-
12,8.480168557940479,9.375895390586823,17.856063948527304,-
13,7.747410675283483,8.322614961948407,16.07002563723189,0.9374933220808982
14,7.383185380095363,8.760250869663778,16.14343624975914,0.9044752123459362
15,6.915028526208308,9.01602327060939,15.931051796817698,-
16,6.17880915786844,4.583017838190272,10.761826996058714,-
17,5.198071367653337,3.6584975728464784,8.856568940499816,0.9553399613107322
18,4.907965782129459,4.138875870040178,9.046841652169638,0.8742990553821404
19,4.295869358406616,4.45584405799314,8.751713416399756,-
20,10.49169977387441,17.65148093315494,28.14318070702935,-
21,10.217450134005805,16.142899835592054,26.36034996959786,0.9792894843133401
22,9.896425763686853,16.691533248756297,26.58795901244315,0.8735926540308351
23,9.439668920928089,16.876082732526573,26.31575165345466,-
